,ID,scientific name,date,coordinates
1291,1584376915,Eretmochelys imbricata,1996-01-01T00:00:00Z,"142.6233,-10.7233"
1292,1584376914,Lepidochelys olivacea,1996-01-01T00:00:00Z,"142.635,-10.6"
1293,1584376913,Lepidochelys olivacea,1996-01-01T00:00:00Z,"142.1283,-10.0283"
1294,1584376912,Lepidochelys olivacea,1996-01-01T00:00:00Z,"142.17,-10.2033"
1295,1584376911,Eretmochelys imbricata,1996-01-01T00:00:00Z,"142.0667,-10.225"
1296,1584376910,Lepidochelys olivacea,1996-01-01T00:00:00Z,"142.6233,-10.7233"
1297,1584376909,Natator depressus,1996-01-01T00:00:00Z,"142.06,-10.2233"
1298,1584376908,Lepidochelys olivacea,1996-01-01T00:00:00Z,"142.0633,-10.22"
1299,1584376907,Eretmochelys imbricata,1996-01-01T00:00:00Z,"142.3867,-10.7717"
1300,1584376906,Eretmochelys imbricata,1996-01-01T00:00:00Z,"142.07,-10.2667"
1301,1584376905,Natator depressus,1996-01-01T00:00:00Z,"142.1717,-10.06"
1302,1584376904,Eretmochelys imbricata,1996-01-01T00:00:00Z,"142.0633,-10.22"
1303,1584376903,Eretmochelys imbricata,1996-01-01T00:00:00Z,"142.0633,-10.2483"
1304,1584376902,Lepidochelys olivacea,1996-01-01T00:00:00Z,"142.175,-10.18"
1305,1584376901,Eretmochelys imbricata,1996-01-01T00:00:00Z,"143.125,-10.4667"
1306,1584376900,Eretmochelys imbricata,1996-01-01T00:00:00Z,"143.5133,-9.8417"
1307,1584376899,Lepidochelys olivacea,1996-01-01T00:00:00Z,"142.1467,-10.2117"
1308,1584376898,Eretmochelys imbricata,1996-01-01T00:00:00Z,"142.175,-10.18"
1309,1584376897,Eretmochelys imbricata,1996-01-01T00:00:00Z,"142.0933,-10.3283"
1310,1584376896,Eretmochelys imbricata,1996-01-01T00:00:00Z,"142.105,-10.3567"
1311,1584376895,Lepidochelys olivacea,1996-01-01T00:00:00Z,"143.025,-10.6417"
1312,1584376894,Lepidochelys olivacea,1996-01-01T00:00:00Z,"142.18,-10.1683"
